freq,siec,unit,geo\TIME_PERIOD	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 
M,RA100,GWH,AT	3530.954 	2898.883 	2694.896 	3733.446 	4446.346 	3889.653 	3200.412 	2632.686 	2654.213 	2356.859 	2516.831 	2662.116 	3047.295 	2482.810 	3504.866 	3749.613 	4108.149 	4738.599 	3855.324 	3579.939 	2971.900 	2628.923 	2985.450 	2624.248 	2574.128 	2731.786 	3065.789 	2974.071 	3627.649 	4224.384 	4358.982 	4031.532 	3877.899 	3608.060 	3070.446 	2590.365 	2474.653 	2795.160 	2483.061 	2545.011 	4085.786 	4555.252 	4275.054 	4650.436 	3118.155 	2473.872 	2504.996 	2526.046 	2822.300 	2300.406 	2585.301 	3073.512 	3859.569 	3845.706 	3062.548 	2893.092 	2997.993 	2931.837 	2418.743 	2502.923 	2645.862 	2444.589 	2801.584 	3226.073 	4637.523 	3946.916 	3503.625 	4139.232 	3210.406 	2479.208 	3507.884 	3817.516 	3806.078 	3172.297 	3170.943 	3693.41 	4439.249 	4679.641 	4671.488 	3560.84 	3576.239 	4410.12 	2631.435 	2638.565 	2908.406 	2414.198 
M,RA100,GWH,BE	157.545 	124.270 	151.550 	135.611 	108.300 	82.824 	64.749 	45.056 	70.005 	93.371 	90.543 	115.424 	128.834 	98.590 	109.481 	92.484 	84.578 	87.448 	55.242 	52.681 	56.681 	93.914 	105.412 	130.549 	132.254 	122.345 	119.996 	109.246 	86.382 	81.696 	87.546 	76.801 	96.278 	100.803 	94.611 	127.171 	132.813 	117.604 	140.596 	74.301 	26.449 	23.466 	72.358 	124.712 	110.183 	138.429 	120.156 	145.025 	149.796 	150.065 	145.283 	132.246 	109.890 	123.228 	130.288 	101.447 	112.852 	129.193 	121.578 	134.775 	164.318 	128.476 	169.247 	160.941 	124.900 	104.767 	110.146 	76.717 	54.945 	132.917 	150.108 	152.049 	141.846 	120.191 	158.715 	164.535 	121.283 	100.022 	106.89 	105.048 	105.584 	134.886 	100.277 	120.419 	118.94 	105.32 
M,RA100,GWH,BG	237.415 	323.405 	548.704 	542.055 	465.229 	328.586 	497.287 	429.650 	325.639 	265.206 	328.723 	400.644 	268.191 	328.994 	296.738 	282.423 	374.126 	460.469 	276.247 	252.310 	165.861 	181.817 	209.061 	259.073 	148.865 	158.618 	335.050 	451.699 	424.220 	382.408 	302.918 	240.679 	197.526 	203.192 	239.489 	289.958 	559.945 	534.611 	518.521 	609.889 	610.364 	521.914 	333.183 	244.447 	197.894 	265.637 	236.688 	461.316 	422.157 	280.854 	378.875 	364.486 	407.050 	429.990 	310.820 	297.548 	195.655 	223.559 	218.338 	265.921 	244.587 	247.621 	201.887 	286.049 	390.366 	511.189 	307.296 	237.634 	139.271 	123.958 	208.299 	201.077 	207.422 	206.245 	270.546 	392.831 	502.847 	379.356 	286.688 	219.436 	135.242 	91.28 	98.09 	108.696 	175.217 	219.998 
M,RA100,GWH,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,RA100,GWH,CZ	385.417 	307.022 	293.119 	295.441 	213.240 	170.069 	138.222 	129.785 	124.865 	172.858 	189.836 	230.279 	331.456 	293.220 	439.661 	317.460 	268.097 	195.078 	180.693 	190.551 	198.543 	268.675 	201.930 	257.169 	229.951 	282.381 	304.817 	272.986 	225.627 	269.232 	310.742 	281.746 	259.663 	330.811 	343.846 	289.362 	305.152 	396.403 	335.797 	284.643 	336.212 	219.848 	319.884 	294.687 	263.410 	294.364 	259.581 	274.794 	311.975 	269.582 	286.448 	278.300 	228.411 	165.162 	252.642 	232.444 	245.604 	245.392 	235.980 	301.221 	334.179 	284.288 	363.630 	389.044 	322.280 	186.157 	169.461 	218.837 	211.373 	246.372 	284.653 	365.571 	516.158 	353.421 	325.463 	244.215 	223.553 	258.531 	216.216 	192.733 	325.315 	318.682 	239.901 	333.409 	284.380 	242.957 
M,RA100,GWH,DE	2150.262 e	1764.528 e	1828.445 e	2038.187 e	1977.972 e	1667.807 e	1443.562 e	1345.549 e	1466.160 e	1382.177 e	1200.373 e	1776.856 e	1956.213 e	1687.538 e	2284.022 e	1974.883 e	2015.995 e	2105.353 e	1805.206 e	1940.242 e	1654.250 e	1846.497 e	1673.012 e	1832.009 e	1660.882 e	2046.901 e	2147.660 e	1765.563 e	1894.430 e	1890.425 e	1968.046 e	1696.615 e	1703.647 e	2141.908 e	1667.748 e	1630.132 e	1623.310 e	1783.455 e	1827.304 e	1432.969 e	2012.198 e	2075.922 e	2051.989 e	2139.715 e	1757.862 e	1488.613 e	1488.575 e	1803.217 e	1844.526 e	1797.732 e	1625.674 e	1773.329 e	1824.455 e	1787.628 e	1595.670 e	1382.197 e	1456.874 e	1852.471 e	1631.430 e	1727.605 e	1832.497 e	1370.261 e	1857.269 e	2096.344 e	2355.944 e	1655.247 e	1506.962 e	1894.075 e	1641.266 e	1381.162 e	1973.391 e	2321.421 e	2209.92 e	2017.337 e	2033.965 e	2127.344 e	2380.986 e	2174.985 e	2385.583 	2068.914 e	2041.178 	2149.678 	1624.547 	1958.778 	1980.954 	1691.073 
M,RA100,GWH,DK	2.281 	1.921 	1.848 	1.474 	1.112 	0.571 	0.585 	0.768 	1.027 	0.890 	0.986 	1.466 	1.507 	1.692 	2.216 	1.270 	0.943 	0.736 	0.565 	0.802 	1.123 	1.833 	2.054 	2.273 	2.133 	2.701 	2.642 	1.342 	1.107 	0.884 	0.864 	0.800 	1.044 	1.080 	1.249 	1.279 	1.912 	1.503 	1.695 	1.277 	1.476 	1.040 	0.744 	0.983 	1.006 	1.502 	1.398 	1.831 	1.900 	2.100 	2.000 	1.300 	0.900 	0.800 	0.700 	0.700 	0.800 	1.100 	1.200 	1.400 	2.753 	1.955 	1.853 	1.841 	1.059 	0.490 	0.825 	1.035 	1.055 	1.769 	2.486 	2.506 	2.886 	3.068 	2.291 	2.49 	1.576 	1.426 	1.592 	1.377 	1.345 	1.462 	0 	0 	2.558 	1.569 
M,RA100,GWH,EE	2.800 	2.000 	1.800 	3.300 	2.200 	0.500 	0.300 	0.300 	0.300 	0.500 	0.900 	3.300 	0.900 	1.600 	2.800 	2.600 	1.600 	0.700 	0.500 	0.300 	0.500 	1.800 	2.400 	2.600 	4.000 	5.300 	4.400 	3.700 	2.500 	2.900 	1.600 	0.800 	0.900 	2.500 	3.300 	5.100 	2.700 	2.100 	3.500 	3.600 	2.500 	1.100 	0.300 	0.500 	0.400 	0.500 	1.600 	2.100 	2.600 	4.600 	3.900 	4.000 	2.900 	1.400 	0.800 	0.360 	0.300 	0.500 	0.700 	0.900 	2.700 	3.400 	3.000 	3.600 	1.800 	0.500 	0.300 	0.300 	0.600 	0.200 	3.300 	3.000 	2.5 	2.9 	4.3 	4.3 	2.329 	0.9 	0.52 	2 	1.3 	1.7 	3.2 	4 	4.1 	3.3 
M,RA100,GWH,EL	301.141 	452.974 	1191.957 	721.536 	413.788 	430.500 	503.633 	504.065 	377.641 	274.844 	296.650 	333.688 	478.340 	383.497 	269.078 	260.800 	308.735 	386.077 	408.342 	435.661 	289.788 	217.436 	241.577 	372.210 	282.705 	175.887 	244.841 	288.005 	294.863 	385.307 	410.611 	355.108 	299.599 	216.074 	227.103 	260.201 	832.846 	953.618 	355.447 	293.227 	384.917 	406.814 	530.328 	485.568 	258.810 	290.830 	267.613 	901.422 	756.905 	271.436 	411.000 	313.903 	375.490 	423.947 	481.995 	455.129 	291.862 	230.128 	241.995 	354.514 	422.144 	345.774 	265.534 	243.416 	295.313 	440.413 	475.687 	467.906 	390.435 	471.733 	335.055 	560.803 	438.285 	330.464 	354.267 	309.211 	320.511 	417.557 	468.321 	434.3 	277.678 	195.18 	172.77 	300.551 	333.334 	266.281 
M,RA100,GWH,ES	2469.987 	2568.157 	4765.308 	5058.259 	3662.805 	3764.693 	3061.798 	2165.678 	1966.218 	1676.010 	2304.285 	2620.438 	2292.735 	2671.719 	2321.943 	2054.320 	2061.877 	1681.911 	1607.984 	1326.959 	1330.232 	1236.322 	2830.893 	4945.852 	3958.965 	3064.546 	3415.243 	3175.978 	3102.411 	2413.874 	2005.163 	2041.008 	1863.579 	2120.577 	2617.573 	3500.205 	4376.827 	4917.982 	4045.717 	2897.228 	2397.158 	2286.912 	2324.427 	2040.503 	1511.435 	1253.802 	1396.138 	2789.474 	2286.540 	1454.170 	2037.279 	2116.656 	2218.969 	1462.753 	1260.150 	1311.609 	1457.570 	1104.039 	1671.256 	3230.351 	4395.233 	2713.008 	2581.035 	2143.074 	1873.023 	2203.384 	1600.304 	1380.176 	1282.499 	1931.910 	3900.725 	4419.516 	4348.428 	3523.622 	5243.45 	4506.276 	3555.204 	2892.132 	2578.942 	2195.524 	2034.514 	3236.432 	2993.578 	2824.486 	3544.996 	4502.964 
