freq,siec,partner,unit,geo\TIME_PERIOD	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 
M,G3200,TOTAL,MIO_M3,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,G3200,TOTAL,MIO_M3,BE	96.000 	85.300 	85.900 	182.100 	425.900 	246.800 	260.100 	481.400 	123.700 	626.100 	265.700 	107.400 	438.200 	308.700 	971.700 	840.400 	843.700 	522.600 	692.300 	809.900 	436.300 	657.400 	950.200 	1211.100 	986.800 	1453.500 	2076.500 	999.000 	1256.200 	749.700 	360.100 	288.000 	451.600 	102.600 	888.300 	511.100 	611.400 	537.200 	1045.700 	1087.500 	1198.500 	571.100 	452.800 	307.400 	269.200 	817.400 	872.300 	808.400 	1345.300 	795.600 	1424.500 	1614.800 	1377.700 	1924.000 	1105.800 	1095.200 	816.500 	1331.900 	1532.100 	1569.300 	1649.900 	1263.100 	1758.500 	1643.600 	1553.600 	998.500 	890.000 	737.800 	595.400 	1193.500 	1495.200 	1503.500 	1410.900 	1454.400 	1761.400 	1216.900 	994.400 	976.500 	792.900 	376.400 	256.500 	738.900 	578.200 	828.100 	742.200 	1572.800 
M,G3200,TOTAL,MIO_M3,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	197.655 	197.655 	80.915 	64.091 	58.029 	0.000 	3.423 	46.462 	46.799 	0.000 	92.867 	62.005 	0.000 	0.000 	0.000 	80.884 	0.000 	136.962 	0.000 	119.591 	50.204 	0.000 	0.000 	0.000 	90.439 	0.000 	20.098 	18.024 	39.253 	58.562 	65.417 	113.598 	98.853 
M,G3200,TOTAL,MIO_M3,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,G3200,TOTAL,MIO_M3,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,G3200,TOTAL,MIO_M3,DE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	351.780 	437.749 	462.895 	642.405 	657.582 	634.903 	498.969 	570.929 	511.854 	602.540 	553.712 	625.943 	628.704 	584.130 	589.403 	584.096 	671.156 	730.812 	406.987 	329.047 	443.697 	387.899 	439.696 	623.528 	340.682 	272.371 
M,G3200,TOTAL,MIO_M3,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,G3200,TOTAL,MIO_M3,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	0.000 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
M,G3200,TOTAL,MIO_M3,EL	115.000 	117.000 	43.000 	0.000 	0.000 	44.000 	109.000 	106.000 	87.000 	43.000 	130.000 	232.000 	293.000 	210.000 	122.000 	0.000 	195.000 	252.000 	260.000 	323.000 	241.000 	316.000 	380.000 	207.000 	378.739 	396.679 	209.591 	239.560 	235.051 	271.846 	276.457 	211.827 	128.607 	191.276 	132.488 	359.527 	170.135 	101.720 	216.702 	94.265 	169.169 	222.883 	266.783 	225.618 	182.426 	169.441 	144.396 	267.702 	341.162 	199.851 	271.816 	71.957 	285.148 	340.490 	377.021 	375.292 	273.206 	224.197 	358.330 	437.994 	276.650 	317.719 	271.918 	239.937 	255.400 	217.078 	301.971 	216.988 	97.877 	147.932 	43.110 	220.817 	281.499 	180.411 	178.502 	0.000 	88.452 	99.030 	145.100 	75.058 	88.363 	219.116 	301.132 	335.514 	403.411 	288.786 
M,G3200,TOTAL,MIO_M3,ES	1408.000 	962.000 	944.000 	1224.000 	1068.000 	1234.000 	1197.000 	1251.000 	1092.000 	1566.000 	1214.000 	1695.000 	1219.000 	1104.000 	1450.000 	1459.000 	1880.000 	1843.000 	2452.000 	2322.000 	2624.000 	1724.000 	1602.000 	1727.000 	1890.000 	1720.000 	2155.000 	1393.000 	1760.000 	1698.000 	2013.000 	2016.000 	1790.000 	1179.000 	1325.000 	1430.000 	1406.464 	1386.489 	1363.300 	1658.070 	1413.468 	1611.690 	1103.570 	1917.706 	1489.959 	2307.168 	2138.783 	2354.439 	2316.165 	2353.555 	2374.044 	2724.635 	2528.861 	2456.133 	2354.062 	2143.514 	2178.918 	2106.159 	2363.650 	2476.869 	1990.387 	1910.458 	2665.972 	2666.122 	2203.663 	1902.397 	1825.189 	2079.077 	1804.796 	2036.753 	2128.405 	1434.298 	1879.562 	1836.169 	1696.097 	1434.360 	1628.976 	1505.251 	1405.934 	1299.505 	1357.143 	1273.737 	1618.187 	1293.280 	2131.570 	1448.748 
