freq,unit,age,sex,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,NR,TOTAL,F,AT	4483749 	4501742 	4522292 	4535712 	4553444 	4619957 	4643918 
A,NR,TOTAL,F,BE	5784371 	5810693 	5841215 	5854293 	5883978 	5946649 	5981093 
A,NR,TOTAL,F,BG	3494184 	3450251 	3405861 	3389807 	3364303 	3348207 	3347783 
A,NR,TOTAL,F,CY	450423 	455583 	459191 	466924 	476513 	483955 	490771 
A,NR,TOTAL,F,CZ	5390264 	5405606 	5421943 	5323934 b	5332932 	5519006 	5557945 
A,NR,TOTAL,F,DE	41948786 	42052522 	42129098 	42128512 	42170339 	42198796 b	42294114 
A,NR,TOTAL,F,DK	2904717 	2917008 	2925845 	2935188 	2950505 	2983655 	2997558 
A,NR,TOTAL,F,EE	698049 	699185 	699699 	699153 	698381 	718518 	723074 
A,NR,TOTAL,F,EL	5531125 	5516306 	5503077 	5482584 	5345035 b	5320643 	5303827 
A,NR,TOTAL,F,ES	23755470 	23902168 	24107382 	24152187 	24198046 	24519768 	24792824 
A,NR,TOTAL,F,FI	2793999 	2794629 	2797030 	2799985 	2805140 	2810493 	2829953 
A,NR,TOTAL,F,FR	34611994 p	34739132 	34828670 	34946473 	35109077 	35188809 p	35271283 p
A,NR,TOTAL,F,HR	2090961 	2064873 	2041528 	2019003 	2000012 	1989028 	1986557 
A,NR,TOTAL,F,HU	5054972 	5039416 	5025500 	5004102 	4981528 	4974484 	4961249 
A,NR,TOTAL,F,IE	2451343 	2493497 	2530888 	2557709 	2604045 	2666848 	2708306 
A,NR,TOTAL,F,IT	30781300 	30685478 b	30591392 	30369987 	30211177 	30182369 	30124502 
A,NR,TOTAL,F,LT	1526156 	1517016 	1510500 	1505796 	1499399 	1521463 	1519986 
A,NR,TOTAL,F,LU	299425 	305174 	311144 	315274 	320333 	328365 	333776 
A,NR,TOTAL,F,LV	1044738 	1035059 	1026719 	1017998 	1006700 	1010687 	1003142 
A,NR,TOTAL,F,MT	234099 	240787 	248296 	248511 	249705 	257230 	264697 
A,NR,TOTAL,F,NL	8654043 	8701077 	8759554 	8788879 	8845204 	8960982 	9022174 
A,NR,TOTAL,F,PL	19596388 	19592436 	19584757 	19131216 bep	19043758 ep	18980357 ep	18914999 ep
A,NR,TOTAL,F,PT	5433139 	5434882 	5448405 	5451426 	5453855 	5495973 	5556158 
A,NR,TOTAL,F,RO	9978614 	9914008 	9868177 e	9814072 	9802644 e	9790587 e	9796206 e
A,NR,TOTAL,F,SE	5037580 	5087747 	5131775 	5156448 	5191619 	5223232 	5239188 
A,NR,TOTAL,F,SI	1039839 	1042252 	1044795 	1049039 	1049485 	1053701 	1055520 
A,NR,TOTAL,F,SK	2786606 	2789344 	2792523 	2793295 	2776809 	2773698 	2771470 
A,NR,TOTAL,M,AT	4338518 	4357033 	4378772 	4396952 	4425485 	4484815 	4514832 
A,NR,TOTAL,M,BE	5614218 	5644826 	5681225 	5700474 	5733645 	5796147 	5836003 
A,NR,TOTAL,M,BG	3263234 	3213926 	3163414 	3142310 	3118181 	3099503 	3097698 
A,NR,TOTAL,M,CY	428178 	434611 	443238 	447552 	453251 	465129 	475594 
A,NR,TOTAL,M,CZ	5219791 	5244194 	5271996 	5170902 b	5183775 	5308523 	5342610 
A,NR,TOTAL,M,DE	40843565 	40966691 	41037613 	41026519 	41066785 	40919705 b	41161931 
A,NR,TOTAL,M,DK	2876473 	2889073 	2896918 	2904857 	2922915 	2948999 	2963691 
A,NR,TOTAL,M,EE	621084 	625635 	629277 	630915 	633415 	647366 	651613 
A,NR,TOTAL,M,EL	5210040 	5208293 	5215488 	5196048 	5114747 b	5093339 	5096893 
A,NR,TOTAL,M,ES	22889600 	23016783 	23210668 	23248611 	23288797 	23565593 	23826871 
A,NR,TOTAL,M,FI	2719131 	2723290 	2728262 	2733808 	2743101 	2753477 	2773898 
A,NR,TOTAL,M,FR	32414230 p	32551339 	32644981 	32782095 	32982626 	33088401 p	33196079 p
A,NR,TOTAL,M,HR	1923380 	1903803 	1891983 	1874023 	1862293 	1861866 	1875410 
A,NR,TOTAL,M,HU	4658683 	4660856 	4663876 	4647359 	4628875 	4625260 	4623378 
A,NR,TOTAL,M,IE	2404390 	2446814 	2481712 	2509184 	2550232 	2604547 	2643375 
A,NR,TOTAL,M,IT	29156469 	29131195 b	29050096 	28866226 	28818956 	28814832 	28846728 
A,NR,TOTAL,M,LT	1300044 	1295184 	1299477 	1304965 	1306599 	1335816 	1365905 
A,NR,TOTAL,M,LU	302580 	308720 	314964 	319456 	325064 	332444 	338274 
A,NR,TOTAL,M,LV	889641 	884909 	880956 	875225 	869057 	872321 	868740 
A,NR,TOTAL,M,MT	240738 	252181 	266559 	267614 	270469 	284821 	298746 
A,NR,TOTAL,M,NL	8527041 	8581086 	8648031 	8686536 	8745468 	8850309 	8920768 
A,NR,TOTAL,M,PL	18380299 	18380376 	18373381 	17942141 bep	17846003 ep	17773379 ep	17705971 ep
A,NR,TOTAL,M,PT	4902631 	4898614 	4926990 	4942871 	4967262 	5020648 	5083568 
A,NR,TOTAL,M,RO	9554867 	9500450 	9460661 e	9387590 	9239811 e	9263961 e	9271370 e
A,NR,TOTAL,M,SE	5082662 	5142438 	5195814 	5222847 	5260707 	5298324 	5312519 
A,NR,TOTAL,M,SI	1027041 	1038656 	1051066 	1059938 	1057695 	1063271 	1068429 
A,NR,TOTAL,M,SK	2656514 	2661077 	2665350 	2666486 	2657903 	2655094 	2653217 
A,NR,TOTAL,T,AT	8822267 	8858775 	8901064 	8932664 	8978929 	9104772 	9158750 
A,NR,TOTAL,T,BE	11398589 	11455519 	11522440 	11554767 	11617623 	11742796 	11817096 
A,NR,TOTAL,T,BG	6757418 	6664177 	6569275 	6532117 	6482484 	6447710 	6445481 
A,NR,TOTAL,T,CY	878601 	890194 	902429 	914476 	929764 	949084 	966365 
A,NR,TOTAL,T,CZ	10610055 	10649800 	10693939 	10494836 b	10516707 	10827529 	10900555 
A,NR,TOTAL,T,DE	82792351 	83019213 	83166711 	83155031 	83237124 	83118501 b	83456045 
A,NR,TOTAL,T,DK	5781190 	5806081 	5822763 	5840045 	5873420 	5932654 	5961249 
A,NR,TOTAL,T,EE	1319133 	1324820 	1328976 	1330068 	1331796 	1365884 	1374687 
A,NR,TOTAL,T,EL	10741165 	10724599 	10718565 	10678632 	10459782 b	10413982 	10400720 
A,NR,TOTAL,T,ES	46645070 	46918951 	47318050 	47400798 	47486843 	48085361 	48619695 
A,NR,TOTAL,T,FI	5513130 	5517919 	5525292 	5533793 	5548241 	5563970 	5603851 
A,NR,TOTAL,T,FR	67026224 p	67290471 	67473651 	67728568 	68091703 	68277210 p	68467362 p
A,NR,TOTAL,T,HR	4014341 	3968676 	3933511 	3893026 	3862305 	3850894 	3861967 
A,NR,TOTAL,T,HU	9713655 	9700272 	9689376 	9651461 	9610403 	9599744 	9584627 
A,NR,TOTAL,T,IE	4855733 	4940311 	5012600 	5066893 	5154277 	5271395 	5351681 
A,NR,TOTAL,T,IT	59937769 	59816673 b	59641488 	59236213 	59030133 	58997201 	58971230 
A,NR,TOTAL,T,LT	2826200 	2812200 	2809977 	2810761 	2805998 	2857279 	2885891 
A,NR,TOTAL,T,LU	602005 	613894 	626108 	634730 	645397 	660809 	672050 
A,NR,TOTAL,T,LV	1934379 	1919968 	1907675 	1893223 	1875757 	1883008 	1871882 
A,NR,TOTAL,T,MT	474837 	492968 	514855 	516125 	520174 	542051 	563443 
A,NR,TOTAL,T,NL	17181084 	17282163 	17407585 	17475415 	17590672 	17811291 	17942942 
A,NR,TOTAL,T,PL	37976687 	37972812 	37958138 	37073357 bep	36889761 ep	36753736 ep	36620970 
A,NR,TOTAL,T,PT	10335770 	10333496 	10375395 	10394297 	10421117 	10516621 	10639726 
A,NR,TOTAL,T,RO	19533481 	19414458 	19328838 e	19201662 	19042455 e	19054548 e	19067576 e
A,NR,TOTAL,T,SE	10120242 	10230185 	10327589 	10379295 	10452326 	10521556 	10551707 
A,NR,TOTAL,T,SI	2066880 	2080908 	2095861 	2108977 	2107180 	2116972 	2123949 
A,NR,TOTAL,T,SK	5443120 	5450421 	5457873 	5459781 	5434712 	5428792 	5424687 
