freq,unit,na_item,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CP_PPS_EU27_2020_HAB,B1GQ,AT	38414.6 	39259.3 	37382.5 	40182.4 	44282.9 	45725.8 	45947.0 
A,CP_PPS_EU27_2020_HAB,B1GQ,BE	35574.9 	36880.6 	35847.3 	38696.1 	42721.5 	44827.8 p	46156.1 p
A,CP_PPS_EU27_2020_HAB,B1GQ,BG	16309.7 	17438.0 	17487.3 	19755.9 	22449.9 	24331.8 	26264.6 p
A,CP_PPS_EU27_2020_HAB,B1GQ,CY	27299.9 	28870.1 	27191.8 	30380.5 	34068.6 	35927.7 p	37767.9 p
A,CP_PPS_EU27_2020_HAB,B1GQ,CZ	28489.3 	30004.9 	29175.6 	30499.9 	32148.5 	34664.5 	36435.9 
A,CP_PPS_EU27_2020_HAB,B1GQ,DE	38155.9 	38544.2 	37486.3 	39884.1 p	42365.3 p	44239.2 p	45513.0 p
A,CP_PPS_EU27_2020_HAB,B1GQ,DK	38805.8 	39388.3 	40050.9 	44236.9 	48266.2 	47539.5 	50187.7 
A,CP_PPS_EU27_2020_HAB,B1GQ,EE	25224.3 	26435.1 	25992.3 	28243.2 	30345.8 	30451.3 	31437.4 
A,CP_PPS_EU27_2020_HAB,B1GQ,EL	20200.5 	20762.7 	18864.7 	21244.0 	24097.3 p	26354.3 p	27760.4 p
A,CP_PPS_EU27_2020_HAB,B1GQ,ES	27850.1 	28660.1 	25129.0 	28282.8 	31636.6 p	34506.3 p	36328.8 p
A,CP_PPS_EU27_2020_HAB,B1GQ,FI	33389.0 	33995.7 	34037.0 	36219.4 	38447.0 	40029.2 	40884.6 
A,CP_PPS_EU27_2020_HAB,B1GQ,FR	31459.8 	33243.6 	31595.1 	33449.6 	35127.1 	37839.7 p	39112.9 p
A,CP_PPS_EU27_2020_HAB,B1GQ,HR	19694.6 	21298.9 b	19997.5 	23292.7 	25881.8 	28967.6 p	30493.2 p
A,CP_PPS_EU27_2020_HAB,B1GQ,HU	21872.8 	23168.8 	22729.6 	24803.3 	27586.9 	29430.5 	30416.0 p
A,CP_PPS_EU27_2020_HAB,B1GQ,IE	58653.7 	59964.2 	62458.7 	74710.7 	85489.3 	83557.7 	88284.9 
A,CP_PPS_EU27_2020_HAB,B1GQ,IT	29551.8 	30344.7 	28383.9 	31780.1 	35255.9 	37562.1 	38862.9 e
A,CP_PPS_EU27_2020_HAB,B1GQ,LT	24743.4 	26379.1 	26357.1 	29259.5 	31652.4 	33029.2 	34742.9 
A,CP_PPS_EU27_2020_HAB,B1GQ,LU	78975.8 	78735.2 	77882.3 	87091.5 	89574.0 	92209.7 	96163.7 p
A,CP_PPS_EU27_2020_HAB,B1GQ,LV	20227.7 	20946.3 	20909.5 	23540.3 	24956.6 	27063.7 	28030.6 
A,CP_PPS_EU27_2020_HAB,B1GQ,MT	32635.5 	33378.1 	31947.2 	36233.2 	37857.9 	40871.6 	43242.0 
A,CP_PPS_EU27_2020_HAB,B1GQ,NL	39881.5 	40543.6 	39983.4 	43738.4 	48359.0 	49966.9 p	53220.9 p
A,CP_PPS_EU27_2020_HAB,B1GQ,PL	21942.4 	23345.3 	23914.3 b	26195.3 	28149.4 b	29572.1 	31361.7 p
A,CP_PPS_EU27_2020_HAB,B1GQ,PT	23545.5 	24462.2 	22780.1 	24548.3 	27836.4 	30766.2 p	32375.2 p
A,CP_PPS_EU27_2020_HAB,B1GQ,RO	20051.1 	21850.1 	21929.6 	24043.8 	26456.5 	29687.2 p	31105.3 p
A,CP_PPS_EU27_2020_HAB,B1GQ,SE	35911.2 	36990.3 	36662.8 	39667.2 	41100.5 	42892.0 	44705.3 
A,CP_PPS_EU27_2020_HAB,B1GQ,SI	26211.0 	27547.4 	26674.6 	29290.2 	32057.2 	34998.1 	36088.9 
A,CP_PPS_EU27_2020_HAB,B1GQ,SK	21368.3 	22104.9 	22559.3 	24487.9 b	25639.0 	28350.2 	29923.5 
