freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 	2023 
A,GIC,C0000X0350-0370,GWH,AT	31860.959 	33553.374 	28743.606 	29721.268 	28861.196 	27944.566 
A,GIC,C0000X0350-0370,GWH,BE	35826.162 	35478.985 	27502.504 	30282.238 	31837.096 	27300.743 
A,GIC,C0000X0350-0370,GWH,BG	63876.660 	59050.854 	48382.338 	61336.381 	73013.067 	43201.518 
A,GIC,C0000X0350-0370,GWH,CY	158.329 	200.024 	162.872 	466.416 	355.795 	318.577 
A,GIC,C0000X0350-0370,GWH,CZ	183931.762 	165050.373 	143029.252 	150113.591 	156478.901 	124658.046 
A,GIC,C0000X0350-0370,GWH,DE	811058.673 	656688.359 	519337.671 	627036.700 	647594.717 	492861.520 
A,GIC,C0000X0350-0370,GWH,DK	18520.525 	11268.613 	9533.273 	13025.799 	12507.897 	8172.747 
A,GIC,C0000X0350-0370,GWH,EE	194.722 	164.321 	-31.698 	-104.478 	-52.842 	-4.786 
A,GIC,C0000X0350-0370,GWH,EL	53080.120 	37170.504 	21293.600 	19898.021 	18171.522 	13712.914 
A,GIC,C0000X0350-0370,GWH,ES	133999.683 	58984.402 	36051.186 	37314.299 	41929.010 	32194.524 
A,GIC,C0000X0350-0370,GWH,FI	31813.174 	24755.268 	21383.191 	24181.849 	25039.323 	19966.244 
A,GIC,C0000X0350-0370,GWH,FR	106206.598 	85231.388 	61626.136 	98472.618 	86770.439 	69770.088 
A,GIC,C0000X0350-0370,GWH,HR	4260.713 	4866.355 	4200.654 	4830.347 	4727.461 	4019.561 
A,GIC,C0000X0350-0370,GWH,HU	24811.681 	21274.780 	19573.342 	15955.196 	14444.035 	10433.083 
A,GIC,C0000X0350-0370,GWH,IE	9167.942 	4507.588 	5021.739 	10609.177 	8457.223 	5080.604 
A,GIC,C0000X0350-0370,GWH,IT	99298.817 	75366.699 	59249.607 	64403.831 	86184.514 	56014.673 
A,GIC,C0000X0350-0370,GWH,LT	2010.970 	1969.737 	1565.296 	1862.104 	1836.250 	1155.671 
A,GIC,C0000X0350-0370,GWH,LU	485.669 	532.157 	440.263 	457.816 	472.229 	264.919 
A,GIC,C0000X0350-0370,GWH,LV	526.065 	456.838 	267.090 	199.636 	130.575 	130.214 
A,GIC,C0000X0350-0370,GWH,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GIC,C0000X0350-0370,GWH,NL	96091.794 	74707.481 	47785.078 	65091.112 	64249.458 	43990.405 
A,GIC,C0000X0350-0370,GWH,PL	572778.420 	509869.725 	475838.038 	533979.883 	490153.472 	395861.441 
A,GIC,C0000X0350-0370,GWH,PT	31356.869 	14515.930 	6579.493 	2274.801 	79.402 	60.860 
A,GIC,C0000X0350-0370,GWH,RO	58696.066 	56910.630 	40494.786 	47038.455 	40860.775 	30125.266 
A,GIC,C0000X0350-0370,GWH,SE	23330.978 	21606.389 	17490.111 	19289.689 	17237.722 	16903.467 
A,GIC,C0000X0350-0370,GWH,SI	13158.948 	12400.151 	11864.289 	10876.555 	8698.592 	8433.122 
