freq,siec,unit,geo\TIME_PERIOD	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 
M,RA100,PC,AT	54.686 	51.073 	50.045 	63.799 	72.108 	68.112 	65.276 	61.735 	57.914 	47.157 	46.696 	42.914 	45.799 	45.170 	57.898 	59.748 	65.616 	72.086 	66.136 	64.607 	56.486 	48.888 	49.847 	46.040 	44.548 	46.648 	52.303 	61.387 	64.952 	69.102 	69.179 	67.607 	66.950 	58.235 	55.425 	46.487 	45.756 	53.342 	48.439 	49.653 	63.473 	72.311 	70.537 	72.862 	65.546 	49.186 	44.635 	44.350 	44.408 	42.521 	46.269 	54.687 	63.852 	66.456 	61.023 	62.035 	58.082 	56.818 	48.691 	47.321 	48.886 	47.173 	50.389 	55.929 	65.850 	68.154 	62.993 	67.880 	60.985 	52.069 	55.246 	58.765 	52.57 	53.419 	51.99 	57.802 	65.109 	67.946 	67.291 	63.608 	61.097 	64.055 	44.34 	44.225 	45.622 	41.972 
M,RA100,PC,BE	2.243 	1.785 	2.122 	2.474 	2.047 	1.597 	1.176 	0.857 	1.543 	1.751 	1.551 	2.041 	1.747 	1.535 	1.535 	1.367 	1.266 	1.369 	0.786 	0.672 	0.712 	1.221 	1.364 	1.669 	1.711 	1.666 	1.588 	1.729 	1.244 	1.284 	1.248 	1.202 	1.458 	1.478 	1.315 	1.598 	1.574 	1.445 	1.564 	0.904 	0.350 	0.321 	0.938 	1.662 	1.696 	1.776 	1.544 	1.657 	1.704 	1.942 	1.940 	1.799 	1.548 	1.849 	1.896 	1.322 	1.524 	1.726 	1.644 	1.757 	2.004 	1.871 	2.359 	2.659 	2.208 	1.717 	1.662 	1.283 	1.058 	2.285 	2.334 	2.274 	0.677 	0.729 	0.915 	0.734 	0.776 	0.608 	0.424 	0.258 	0.39 	0.778 	0.558 	0.787 	0.765 	0.819 
M,RA100,PC,BG	6.345 	9.181 	14.746 	19.447 	17.245 	10.166 	14.421 	11.908 	10.011 	7.796 	8.204 	9.335 	6.341 	8.696 	8.189 	8.522 	13.632 	16.353 	8.484 	7.556 	5.543 	5.953 	6.069 	6.980 	4.149 	4.613 	9.373 	16.155 	16.941 	13.166 	9.858 	7.938 	7.017 	7.513 	7.220 	8.186 	14.717 	15.493 	13.236 	17.275 	20.019 	17.441 	9.487 	6.831 	5.430 	7.540 	5.910 	10.121 	8.970 	6.896 	8.090 	9.709 	12.363 	11.653 	8.129 	7.890 	5.798 	7.754 	5.741 	6.700 	6.075 	6.614 	5.963 	10.233 	16.960 	18.520 	9.932 	8.016 	4.829 	4.907 	7.396 	5.847 	6.096 	6.992 	8.823 	13.125 	20.859 	16.511 	8.843 	6.996 	4.617 	3.406 	3.598 	2.974 	4.166 	5.581 
M,RA100,PC,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,RA100,PC,CZ	5.528 	4.641 	3.718 	4.743 	3.234 	2.752 	2.244 	2.067 	1.887 	2.381 	2.524 	3.008 	4.143 	4.052 	6.278 	4.944 	4.010 	3.407 	3.397 	3.146 	3.043 	3.590 	2.758 	3.497 	3.054 	4.206 	4.689 	5.200 	3.988 	4.708 	5.736 	4.590 	4.222 	5.027 	4.769 	3.992 	3.948 	5.845 	4.778 	4.715 	6.141 	3.948 	5.572 	5.167 	4.170 	3.946 	3.360 	3.555 	4.127 	4.169 	3.782 	4.622 	4.048 	2.753 	4.122 	3.793 	3.852 	4.000 	3.464 	3.799 	4.624 	4.390 	5.707 	6.763 	6.782 	3.837 	3.228 	3.924 	3.948 	3.907 	4.437 	5.520 	6.244 	4.677 	3.747 	3.212 	2.809 	3.582 	2.388 	2.109 	5.077 	4.82 	2.951 	3.957 	2.844 	2.340 
M,RA100,PC,DE	4.118 e	3.603 e	3.473 e	4.508 e	4.574 e	3.857 e	3.121 e	2.870 e	3.273 e	2.837 e	2.445 e	3.518 e	3.623 e	3.545 e	4.525 e	4.448 e	4.794 e	5.442 e	4.363 e	4.873 e	4.026 e	3.948 e	3.550 e	3.911 e	3.362 e	4.306 e	4.716 e	4.900 e	5.452 e	5.172 e	5.079 e	4.245 e	4.275 e	4.665 e	3.634 e	3.563 e	3.375 e	4.103 e	3.943 e	3.294 e	5.002 e	5.360 e	5.257 e	5.389 e	4.241 e	3.250 e	3.192 e	3.778 e	3.758 e	3.690 e	3.463 e	4.041 e	4.498 e	4.590 e	3.860 e	3.504 e	3.681 e	4.587 e	3.805 e	3.969 e	3.948 e	3.247 e	4.200 e	5.528 e	6.873 e	5.129 e	4.454 e	6.028 e	5.151 e	3.657 e	4.805 e	5.431 e	4.109 e	4.142 e	4.238 e	4.484 e	5.636 e	5.263 e	5.37 	4.615 e	4.483 	4.932 	3.228 	3.751 	3.58 	3.299 
M,RA100,PC,DK	0.074 	0.061 	0.052 	0.057 	0.070 	0.039 	0.040 	0.047 	0.048 	0.034 	0.039 	0.047 	0.044 	0.060 	0.068 	0.060 	0.041 	0.051 	0.035 	0.055 	0.055 	0.083 	0.081 	0.070 	0.060 	0.083 	0.094 	0.064 	0.053 	0.060 	0.045 	0.060 	0.059 	0.049 	0.051 	0.047 	0.059 	0.045 	0.055 	0.046 	0.069 	0.058 	0.042 	0.046 	0.047 	0.052 	0.046 	0.051 	0.049 	0.056 	0.064 	0.047 	0.036 	0.043 	0.028 	0.040 	0.033 	0.044 	0.038 	0.041 	0.077 	0.062 	0.059 	0.067 	0.041 	0.026 	0.034 	0.053 	0.052 	0.065 	0.091 	0.071 	0.074 	0.089 	0.069 	0.088 	0.064 	0.062 	0.071 	0.063 	0.062 	0.051 	0 	0 	0.076 	0.056 
M,RA100,PC,EE	0.275 	0.213 	0.158 	0.332 	0.309 	0.063 	0.037 	0.028 	0.035 	0.061 	0.096 	0.435 	0.086 	0.232 	0.414 	0.434 	0.326 	0.224 	0.163 	0.075 	0.107 	0.419 	0.426 	0.573 	0.966 	1.431 	1.089 	1.267 	0.869 	0.843 	0.455 	0.144 	0.184 	0.506 	0.683 	0.982 	0.468 	0.367 	0.892 	0.871 	0.655 	0.242 	0.061 	0.114 	0.071 	0.082 	0.233 	0.243 	0.352 	0.912 	0.540 	0.768 	0.414 	0.230 	0.135 	0.065 	0.043 	0.082 	0.109 	0.130 	0.506 	0.724 	0.613 	0.951 	0.442 	0.127 	0.105 	0.093 	0.168 	0.058 	0.790 	0.616 	0.437 	0.675 	0.976 	1.12 	0.479 	0.203 	0.131 	0.56 	0.303 	0.408 	0.837 	0.792 	0.787 	0.637 
M,RA100,PC,EL	6.900 	11.423 	28.775 	21.847 	10.995 	10.241 	10.656 	10.241 	8.623 	6.748 	7.181 	7.047 	9.060 	9.803 	7.502 	7.806 	9.420 	9.415 	8.846 	8.868 	7.293 	5.891 	7.296 	9.819 	6.287 	4.824 	7.214 	9.070 	9.461 	11.472 	9.080 	8.427 	7.183 	6.318 	5.819 	5.886 	16.862 	24.397 	8.889 	7.573 	10.703 	10.136 	9.810 	9.140 	5.862 	6.560 	6.925 	17.920 	17.020 	7.467 	8.386 	10.426 	11.053 	9.654 	8.290 	8.537 	7.848 	6.839 	6.994 	8.990 	12.728 	9.549 	7.513 	7.348 	9.156 	11.724 	9.318 	9.460 	9.202 	11.973 	9.406 	14.092 	9.774 	8.937 	9.493 	8.3 	8.355 	8.681 	8.04 	8.579 	7.339 	5.201 	3.857 	6.539 	7.202 	5.837 
M,RA100,PC,ES	10.784 	11.749 	19.586 	24.310 	18.152 	18.982 	14.038 	9.702 	9.343 	7.583 	10.365 	12.105 	9.332 	12.992 	11.125 	10.374 	10.013 	7.937 	6.803 	5.909 	6.224 	5.879 	12.517 	22.159 	17.420 	15.083 	16.263 	18.180 	17.267 	12.531 	8.380 	9.055 	8.736 	10.140 	13.194 	14.791 	18.011 	23.271 	18.313 	14.566 	11.717 	11.519 	10.364 	9.467 	7.320 	6.086 	6.076 	11.854 	9.414 	6.898 	8.966 	9.738 	10.023 	6.302 	4.779 	5.196 	6.162 	5.032 	7.754 	14.553 	18.468 	12.567 	10.768 	9.996 	8.721 	10.374 	6.786 	5.873 	6.178 	9.252 	18.076 	19.588 	17.421 	14.519 	21.974 	19.865 	14.794 	11.831 	9.293 	8.079 	8.18 	13.9 	13.534 	11.43 	13.224 	19.475 
