country,date,Hydro_Total_PC,Hydro_Pure_PC,Hydro_Mixed_PC,Geothermal_PC,Wind_Total_PC,Wind_Onshore_PC,Wind_Offshore_PC,Solar_Total_PC,Solar_Thermal_PC,Solar_PV_PC,Other_Renewables_PC,Total_Renewables_PC,Hydro_Total_GWH,Hydro_Pure_GWH,Hydro_Mixed_GWH,Geothermal_GWH,Wind_Total_GWH,Wind_Onshore_GWH,Wind_Offshore_GWH,Solar_Total_GWH,Solar_Thermal_GWH,Solar_PV_GWH,Other_Renewables_GWH,Total_Renewables_GWH,NG_mcm_total,LNG_mcm_total,agg_total_imports,NG_mcm_RU,LNG_mcm_RU,agg_RU_imports,gas_consumption_mcm,coal_consumption_tht,gas_stock_mcm,Russia_dependency_pct,pre_dep_share,ru_share,low,nonmiss_k,all_low_k,eligible,cutoff_hit,first_treat_date,treat,tname,gname,event_time
AT,2018-01-01,54.686,36.837,17.849,0,8.631,8.631,0,0,0,0,0,63.317,3530.954,2378.472,1152.482,0,557.264,557.264,0,0,0,0,0,4088.2180000000003,2518,0,2518,0,0,0,1101,329.978,4406,0,0,0,TRUE,NA,NA,FALSE,FALSE,NA,0,201801,0,NA
AT,2018-02-01,51.073,28.702,22.372,0,7.473,7.473,0,0,0,0,0,58.546,2898.883,1629.087,1269.796,0,424.167,424.167,0,0,0,0,0,3323.0499999999997,3497,0,3497,0,0,0,1182,306.819,2802,0,0,0,TRUE,NA,NA,FALSE,FALSE,NA,0,201802,0,NA
AT,2018-03-01,50.045,31.34,18.706,0,9.775,9.775,0,0,0,0,0,59.82,2694.896,1687.609,1007.287,0,526.367,526.367,0,0,0,0,0,3221.263,4083,0,4083,0,0,0,1094,339.711,1661,0,0,0,TRUE,3,TRUE,FALSE,FALSE,NA,0,201803,0,NA
AT,2018-04-01,63.799,46.56,17.239,0,10.674,10.674,0,0,0,0,0,74.473,3733.446,2724.65,1008.797,0,624.649,624.649,0,0,0,0,0,4358.095,5152,0,5152,0,0,0,536,248.192,2433,0,0,0,TRUE,3,TRUE,FALSE,FALSE,NA,0,201804,0,NA
AT,2018-05-01,72.108,47.558,24.55,0,4.866,4.866,0,0,0,0,0,76.974,4446.346,2932.534,1513.811,0,300.039,300.039,0,0,0,0,0,4746.384999999999,4895,0,4895,0,0,0,410,233.387,3201,0,0,0,TRUE,3,TRUE,FALSE,FALSE,NA,0,201805,0,NA
AT,2018-06-01,68.112,45.146,22.966,0,7.967,7.967,0,0,0,0,0,76.079,3889.653,2578.146,1311.507,0,454.949,454.949,0,0,0,0,0,4344.602,4488,0,4488,0,0,0,407,203.594,4034,0,0,0,TRUE,3,TRUE,FALSE,FALSE,NA,0,201806,0,NA
AT,2018-07-01,65.276,41.701,23.575,0,7.669,7.669,0,0,0,0,0,72.945,3200.412,2044.55,1155.861,0,375.98,375.98,0,0,0,0,0,3576.392,4850,0,4850,0,0,0,420,190.02,4857,0,0,0,TRUE,3,TRUE,FALSE,FALSE,NA,0,201807,0,NA
AT,2018-08-01,61.735,37.151,24.584,0,6.915,6.915,0,0,0,0,0,68.65,2632.686,1584.304,1048.382,0,294.872,294.872,0,0,0,0,0,2927.558,4769,0,4769,0,0,0,443,200.202,5820,0,0,0,TRUE,3,TRUE,FALSE,FALSE,NA,0,201808,0,NA
AT,2018-09-01,57.914,37.245,20.669,0,7.8,7.8,0,0,0,0,0,65.714,2654.213,1706.952,947.26,0,357.462,357.462,0,0,0,0,0,3011.675,4265,0,4265,0,0,0,552,218.675,6443,0,0,0,TRUE,3,TRUE,FALSE,FALSE,NA,0,201809,0,NA
AT,2018-10-01,47.157,27.615,19.542,0,13.587,13.587,0,0,0,0,0,60.744,2356.859,1380.162,976.698,0,679.065,679.065,0,0,0,0,0,3035.924,3466,0,3466,0,0,0,704,320.918,7008,0,0,0,TRUE,3,TRUE,FALSE,FALSE,NA,0,201810,0,NA
